2025-12-07 13:31:32 | INFO | walk_forward_engine_hybrid_BTC | ===== WALK-FORWARD BACKTEST ENGINE (HYBRID STRATEGY - BTC) STARTED =====
2025-12-07 13:31:32 | INFO | walk_forward_engine_hybrid_BTC | Loaded features: (3794, 25)
2025-12-07 13:31:32 | INFO | walk_forward_engine_hybrid_BTC | Detected 17 feature columns for BTC-USD
2025-12-07 13:31:32 | INFO | walk_forward_engine_hybrid_BTC | Starting walk-forward. total samples: 3794
2025-12-07 13:31:32 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 749, retrain forced=False, regime_changed=False
2025-12-07 13:31:32 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 787, retrain forced=True, regime_changed=True
2025-12-07 13:31:32 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 793, retrain forced=True, regime_changed=True
2025-12-07 13:31:32 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 845, retrain forced=True, regime_changed=True
2025-12-07 13:31:33 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 852, retrain forced=True, regime_changed=True
2025-12-07 13:31:33 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 871, retrain forced=True, regime_changed=True
2025-12-07 13:31:33 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 950, retrain forced=True, regime_changed=True
2025-12-07 13:31:33 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1147, retrain forced=True, regime_changed=True
2025-12-07 13:31:33 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1148, retrain forced=True, regime_changed=True
2025-12-07 13:31:34 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1156, retrain forced=True, regime_changed=True
2025-12-07 13:31:34 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1157, retrain forced=True, regime_changed=True
2025-12-07 13:31:34 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1160, retrain forced=True, regime_changed=True
2025-12-07 13:31:34 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1161, retrain forced=True, regime_changed=True
2025-12-07 13:31:34 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1180, retrain forced=True, regime_changed=True
2025-12-07 13:31:34 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1181, retrain forced=True, regime_changed=True
2025-12-07 13:31:34 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1184, retrain forced=True, regime_changed=True
2025-12-07 13:31:34 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1185, retrain forced=True, regime_changed=True
2025-12-07 13:31:34 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1214, retrain forced=True, regime_changed=True
2025-12-07 13:31:35 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1215, retrain forced=True, regime_changed=True
2025-12-07 13:31:35 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1219, retrain forced=True, regime_changed=True
2025-12-07 13:31:35 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1229, retrain forced=True, regime_changed=True
2025-12-07 13:31:35 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1276, retrain forced=True, regime_changed=True
2025-12-07 13:31:35 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1277, retrain forced=True, regime_changed=True
2025-12-07 13:31:35 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1281, retrain forced=True, regime_changed=True
2025-12-07 13:31:35 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1282, retrain forced=True, regime_changed=True
2025-12-07 13:31:35 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1289, retrain forced=True, regime_changed=True
2025-12-07 13:31:36 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1290, retrain forced=True, regime_changed=True
2025-12-07 13:31:36 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1300, retrain forced=True, regime_changed=True
2025-12-07 13:31:36 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1301, retrain forced=True, regime_changed=True
2025-12-07 13:31:36 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1310, retrain forced=True, regime_changed=True
2025-12-07 13:31:36 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1311, retrain forced=True, regime_changed=True
2025-12-07 13:31:36 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1315, retrain forced=True, regime_changed=True
2025-12-07 13:31:36 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1317, retrain forced=True, regime_changed=True
2025-12-07 13:31:36 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1324, retrain forced=True, regime_changed=True
