Date,prev_signal,new_signal,trade_cost,equity_before,equity_after
2017-08-09,0,1,0.001,1.0,0.9763475639834571
2017-08-10,1,0,0.001,0.9763475639834571,0.9753712164194737
2017-08-15,0,1,0.001,0.9753712164194737,0.9421025092287927
2017-08-16,1,0,0.001,0.9421025092287927,0.9411604067195639
2017-08-17,0,1,0.001,0.9411604067195639,0.9305552594863687
2017-08-18,1,0,0.001,0.9305552594863687,0.9296247042268824
2017-08-20,0,1,0.001,0.9296247042268824,0.9051889483454615
2017-08-21,1,0,0.001,0.9051889483454615,0.904283759397116
2017-09-03,0,1,0.001,0.904283759397116,0.9042069677262787
2017-09-04,1,0,0.001,0.9042069677262787,0.9033027607585524
2017-09-07,0,1,0.001,0.9033027607585524,0.9029417331275622
2017-09-08,1,0,0.001,0.9029417331275622,0.9020387913944347
2017-09-09,0,1,0.001,0.9020387913944347,0.9005629585752506
2017-09-11,1,0,0.001,0.8785883163469281,0.8777097280305812
2017-09-12,0,1,0.001,0.8777097280305812,0.8704072960651587
2017-09-13,1,0,0.001,0.8704072960651587,0.8695368887690935
2017-09-14,0,1,0.001,0.8695368887690935,0.7057065637715583
2017-09-17,1,0,0.001,0.8108574110821912,0.810046553671109
2017-09-19,0,1,0.001,0.810046553671109,0.7812937702866624
2017-09-20,1,0,0.001,0.7812937702866624,0.7805124765163757
2017-09-28,0,1,0.001,0.7805124765163757,0.774912149990141
2017-09-29,1,0,0.001,0.774912149990141,0.7741372378401509
2017-10-03,0,1,0.001,0.7741372378401509,0.7572389259453062
2017-10-08,1,0,0.001,0.7764282747277095,0.7756518464529818
2017-10-24,0,1,0.001,0.7756518464529818,0.7220772049624608
2017-10-25,1,0,0.001,0.7220772049624608,0.7213551277574983
2017-10-27,0,1,0.001,0.7213551277574983,0.7054940198170605
2017-10-28,1,0,0.001,0.7054940198170605,0.7047885257972435
2017-11-10,0,1,0.001,0.7047885257972435,0.6522436182206773
2017-11-11,1,0,0.001,0.6522436182206773,0.6515913746024566
2017-11-17,0,1,0.001,0.6515913746024566,0.6374720619963228
2017-11-18,1,0,0.001,0.6374720619963228,0.6368345899343265
2017-11-19,0,1,0.001,0.6368345899343265,0.6563357560632498
2017-11-21,1,0,0.001,0.6697417488093392,0.6690720070605299
2017-11-22,0,1,0.001,0.6690720070605299,0.683513979158645
2017-11-23,1,0,0.001,0.683513979158645,0.6828304651794863
2017-11-24,0,1,0.001,0.6828304651794863,0.700403437938805
2017-11-26,1,0,0.001,0.7459924246467169,0.7452464322220702
2017-12-03,0,1,0.001,0.7452464322220702,0.7612303413578202
2017-12-04,1,0,0.001,0.7612303413578202,0.7604691110164624
2017-12-05,0,1,0.001,0.7604691110164624,0.7766373838848558
2017-12-06,1,0,0.001,0.7766373838848558,0.7758607465009709
2017-12-07,0,1,0.001,0.7758607465009709,0.9709677629460591
2018-02-26,1,0,0.001,0.5242625369307271,0.5237382743937964
2018-02-28,0,1,0.001,0.5237382743937964,0.5072127618970735
2018-03-02,1,0,0.001,0.5341931300421874,0.5336589369121452
2018-03-03,0,1,0.001,0.5336589369121452,0.5525386617105351
2018-03-04,1,0,0.001,0.5525386617105351,0.5519861230488246
2018-03-05,0,1,0.001,0.5519861230488246,0.5543444844246646
2018-03-11,1,0,0.001,0.424668701394778,0.42424403269338323
2018-03-12,0,1,0.001,0.42424403269338323,0.40727678708763154
2018-03-13,1,0,0.001,0.40727678708763154,0.4068695103005439
2018-03-14,0,1,0.001,0.4068695103005439,0.3655298791148364
2018-03-21,1,0,0.001,0.39397999239794185,0.3935860124055439
2018-03-22,0,1,0.001,0.3935860124055439,0.38434107219960706
2018-03-28,1,0,0.001,0.34491257935328495,0.3445676667739317
2018-03-30,0,1,0.001,0.3445676667739317,0.33099086938403705
2018-03-31,1,0,0.001,0.33099086938403705,0.330659878514653
2018-04-01,0,1,0.001,0.330659878514653,0.3241982836538367
2018-04-02,1,0,0.001,0.3241982836538367,0.32387408537018286
2018-04-05,0,1,0.001,0.32387408537018286,0.32154805991823254
2018-04-10,1,0,0.001,0.3196248417420234,0.31930521690028135
2018-04-11,0,1,0.001,0.31930521690028135,0.3252255492040704
2018-04-12,1,0,0.001,0.3252255492040704,0.3249003236548663
2018-04-13,0,1,0.001,0.3249003236548663,0.3248517573908883
2018-04-18,1,0,0.001,0.32510395005828935,0.32477884610823105
