Date,prev_signal,new_signal,trade_cost,equity_before,equity_after
2013-03-08,0,1,0.0005,1.0,1.0037638879073638
2013-03-12,1,0,0.0005,1.0075743420673344,1.0070705548963008
2013-03-13,0,1,0.0005,1.0070705548963008,1.0079898846065438
2013-03-15,1,0,0.0005,1.013356554402857,1.0128498761256557
2013-03-20,0,1,0.0005,1.0128498761256557,1.0194187165473059
2013-03-21,1,0,0.0005,1.0194187165473059,1.0189090071890323
2013-03-22,0,1,0.0005,1.0189090071890323,1.026584994639525
2013-03-25,1,0,0.0005,1.026584994639525,1.0260717021422052
2013-03-26,0,1,0.0005,1.0260717021422052,1.0337697590537922
2013-03-27,1,0,0.0005,1.0337697590537922,1.0332528741742653
2013-03-28,0,1,0.0005,1.0332528741742653,1.0359118515511991
2013-04-01,1,0,0.0005,1.0359118515511991,1.0353938956254236
2013-04-02,0,1,0.0005,1.0353938956254236,1.0399849087301776
2013-04-03,1,0,0.0005,1.0399849087301776,1.0394649162758125
2013-04-04,0,1,0.0005,1.0394649162758125,1.043163639437103
2013-04-05,1,0,0.0005,1.043163639437103,1.0426420576173847
2013-04-08,0,1,0.0005,1.0426420576173847,1.0491764224354863
2013-04-12,1,0,0.0005,1.0691908720801366,1.0686562766440966
2013-04-16,0,1,0.0005,1.0686562766440966,1.0838981763743327
2013-04-17,1,0,0.0005,1.0838981763743327,1.0833562272861457
2013-04-19,0,1,0.0005,1.0833562272861457,1.092232592738244
2013-04-26,1,0,0.0005,1.1135882438046283,1.113031449682726
2013-04-29,0,1,0.0005,1.113031449682726,1.1199305406455151
2013-05-01,1,0,0.0005,1.1226017047692263,1.1220404039168417
2013-05-02,0,1,0.0005,1.1220404039168417,1.1318999163990353
2013-05-09,1,0,0.0005,1.1573369630928323,1.156758294611286
2013-05-10,0,1,0.0005,1.156758294611286,1.159944174710345
2013-05-16,1,0,0.0005,1.1791797595711146,1.1785901696913292
2013-05-17,0,1,0.0005,1.1785901696913292,1.1894063272314697
2013-05-20,1,0,0.0005,1.1894063272314697,1.188811624067854
